bulbasaur;BULBASAUR
ivysaur;IVYSAUR
venusaur;VENUSAUR
charmander;CHARMANDER
charmeleon;CHARMELEON
charizard;CHARIZARD
squirtle;SQUIRTLE
wartortle;WARTORTLE
blastoise;BLASTOISE
caterpie;CATERPIE
metapod;METAPOD
butterfree;BUTTERFREE
weedle;WEEDLE
kakuna;KAKUNA
beedrill;BEEDRILL
pidgey;PIDGEY
pidgeotto;PIDGEOTTO
pidgeot;PIDGEOT
rattata;RATTATA
raticate;RATICATE
spearow;SPEAROW
fearow;FEAROW
ekans;EKANS
arbok;ARBOK
pikachu;PIKACHU
raichu;RAICHU
sandshrew;SANDSHREW
sandslash;SANDSLASH
nidoran_f;NIDORAN♀
nidorina;NIDORINA
nidoqueen;NIDOQUEEN
nidoran_m;NIDORAN♂︎
nidorino;NIDORINO
nidoking;NIDOKING
clefairy;CLEFAIRY
clefable;CLEFABLE
vulpix;VULPIX
ninetales;NINETALES
jigglypuff;JIGGLYPUFF
wigglytuff;WIGGLYTUFF
zubat;ZUBAT
golbat;GOLBAT
oddish;ODDISH
gloom;GLOOM
vileplume;VILEPLUME
paras;PARAS
parasect;PARASECT
venonat;VENONAT
venomoth;VENOMOTH
diglett;DIGLETT
dugtrio;DUGTRIO
meowth;MEOWTH
persian;PERSIAN
psyduck;PSYDUCK
golduck;GOLDUCK
mankey;MANKEY
primeape;PRIMEAPE
growlithe;GROWLITHE
arcanine;ARCANINE
poliwag;POLIWAG
poliwhirl;POLIWHIRL
poliwrath;POLIWRATH
abra;ABRA
kadabra;KADABRA
alakazam;ALAKAZAM
machop;MACHOP
machoke;MACHOKE
machamp;MACHAMP
bellsprout;BELLSPROUT
weepinbell;WEEPINBELL
victreebel;VICTREEBEL
tentacool;TENTACOOL
tentracruel;TENTACRUEL
geodude;GEODUDE
graveler;GRAVELER
golem;GOLEM
ponyta;PONYTA
rapidash;RAPIDASH
slowpoke;SLOWPOKE
slowbro;SLOWBRO
magnemite;MAGNEMITE
magneton;MAGNETON
farfetchd;FARFETCH'D
doduo;DODUO
dodrio;DODRIO
seel;SEEL
dewgong;DEWGONG
grimer;GRIMER
muk;MUK
shellder;SHELLDER
cloyster;CLOYSTER
gastly;GASTLY
haunter;HAUNTER
gengar;GENGAR
onix;ONIX
drowzee;DROWZEE
hypno;HYPNO
krabby;KRABBY
kingler;KINGLER
voltorb;VOLTORB
electrode;ELECTRODE
exeggcute;EXEGGCUTE
exeggutor;EXEGGUTOR
cubone;CUBONE
marowak;MAROWAK
hitmonlee;HITMONLEE
hitmonchan;HITMONCHAN
lickitung;LICKITUNG
koffing;KOFFING
weezing;WEEZING
rhyhorn;RHYHORN
rhydon;RHYDON
chansey;CHANSEY
tangela;TANGELA
kangaskhan;KANGASKHAN
horsea;HORSEA
seadra;SEADRA
goldeen;GOLDEEN
seaking;SEAKING
staryu;STARYU
starmie;STARMIE
mr_mime;MR MIME
scyther;SCYTHER
jynx;JYNX
electabuzz;ELECTABUZZ
magmar;MAGMAR
pinsir;PINSIR
tauros;TAUROS
magikarp;MAGIKARP
gyarados;GYARADOS
lapras;LAPRAS
ditto;DITTO
eevee;EEVEE
vaporeon;VAPOREON
jolteon;JOLTEON
flareon;FLAREON
porygon;PORYGON
omanyte;OMANYTE
omastar;OMASTAR
kabuto;KABUTO
kabutops;KABUTOPS
aerodactyl;AERODACTYL
snorlax;SNORLAX
dratini;DRATINI
dragonair;DRAGONAIR
dragonite;DRAGONITE
chikorita;CHIKORITA
bayleef;BAYLEEF
meganium;MEGANIUM
cyndaquil;CYNDAQUIL
quilava;QUILAVA
typhlosion;TYPHLOSION
totodile;TOTODILE
croconaw;CROCONAW
feraligatr;FERALIGATR
sentret;SENTRET
furret;FURRET
hoothoot;HOOTHOOT
noctowl;NOCTOWL
ledyba;LEDYBA
ledian;LEDIAN
spinarak;SPINARAK
ariados;ARIADOS
crobat;CROBAT
chinchou;CHINCHOU
lanturn;LANTURN
